timing_type,related_pin,when,table_type,data_slew,clock_slew,constraint_value
setup_rising,"""CK""",,fall_constraint,0.070993,0.172676,0.00291766
setup_rising,"""CK""",,fall_constraint,0.070993,0.42,-0.0299842
setup_rising,"""CK""",,fall_constraint,0.172676,0.012,0.0827639
setup_rising,"""CK""",,fall_constraint,0.172676,0.0291876,0.0740108
setup_rising,"""CK""",,fall_constraint,0.172676,0.070993,0.0577309
setup_rising,"""CK""",,fall_constraint,0.172676,0.172676,0.034045
setup_rising,"""CK""",,fall_constraint,0.172676,0.42,-0.000132406
setup_rising,"""CK""",,fall_constraint,0.42,0.012,0.132662
setup_rising,"""CK""",,fall_constraint,0.42,0.0291876,0.124908
setup_rising,"""CK""",,fall_constraint,0.42,0.070993,0.109128
setup_rising,"""CK""",,fall_constraint,0.42,0.172676,0.0839431
setup_rising,"""CK""",,fall_constraint,0.42,0.42,0.0487663
