timing_type,related_pin,when,table_type,data_slew/output_capacitance,clk_slew,constraint_value
rising_edge,"""CK""",,cell_fall,0.00194511,0.070993,0.0981764
rising_edge,"""CK""",,cell_fall,0.00486276,0.070993,0.110898
rising_edge,"""CK""",,cell_fall,0.0121569,0.070993,0.140594
rising_edge,"""CK""",,cell_fall,0.0303923,0.070993,0.214272
rising_edge,"""CK""",,cell_fall,0.0001,0.128398,0.101884
rising_edge,"""CK""",,cell_fall,0.000311217,0.128398,0.1035
rising_edge,"""CK""",,cell_fall,0.000778042,0.128398,0.106449
rising_edge,"""CK""",,cell_fall,0.00194511,0.128398,0.112464
rising_edge,"""CK""",,cell_fall,0.00486276,0.128398,0.125186
rising_edge,"""CK""",,cell_fall,0.0121569,0.128398,0.154883
rising_edge,"""CK""",,cell_fall,0.0303923,0.128398,0.228533
rising_edge,"""CK""",,cell_fall,0.0001,0.232223,0.120496
rising_edge,"""CK""",,cell_fall,0.000311217,0.232223,0.12211
rising_edge,"""CK""",,cell_fall,0.000778042,0.232223,0.125062
rising_edge,"""CK""",,cell_fall,0.00194511,0.232223,0.13108
rising_edge,"""CK""",,cell_fall,0.00486276,0.232223,0.143803
rising_edge,"""CK""",,cell_fall,0.0121569,0.232223,0.1735
rising_edge,"""CK""",,cell_fall,0.0303923,0.232223,0.247152
rising_edge,"""CK""",,cell_fall,0.0001,0.42,0.143535
rising_edge,"""CK""",,cell_fall,0.000311217,0.42,0.145147
rising_edge,"""CK""",,cell_fall,0.000778042,0.42,0.148102
rising_edge,"""CK""",,cell_fall,0.00194511,0.42,0.154116
rising_edge,"""CK""",,cell_fall,0.00486276,0.42,0.166836
rising_edge,"""CK""",,cell_fall,0.0121569,0.42,0.196536
rising_edge,"""CK""",,cell_fall,0.0303923,0.42,0.270185
